id,name,team,position,jersey,dob,age,western,chinese,chineseEnglish,chineseYearOnly,cnyDiffers,lifePath,lifePathDigitSum,natalCompound,yearsExp,college
00-0041194,Jack Strand,ATL,QB,18,2004-06-23,22,Cancer,Monkey,Wood Monkey,Monkey,false,35/8,17/8,17/8,0,Minnesota State
00-0037741,Jahan Dotson,ATL,WR,4,2000-03-22,26,Aries,Dragon,Metal Dragon,Dragon,false,27/9,9,9,4,Penn State
00-0035280,Jake Bailey,ATL,P,16,1997-06-18,29,Gemini,Ox,Fire Ox,Ox,false,50/5,41/5,41/5,7,Stanford
00-0031279,Jake Matthews,ATL,OL,70,1992-02-11,34,Aquarius,Monkey,Water Monkey,Monkey,false,34/7,25/7,25/7,12,Texas A&M
00-0040056,Jared Ivey,ATL,DL,51,2001-12-05,24,Sagittarius,Snake,Metal Snake,Snake,false,20/2,11,11,1,Mississippi; Georgia Tech
00-0035237,Jawaan Taylor,ATL,OL,71,1997-11-25,28,Sagittarius,Ox,Fire Ox,Ox,false,62/8,35/8,35/8,7,Florida
00-0034675,Jessie Bates,ATL,DB,3,1997-02-26,29,Pisces,Ox,Fire Ox,Ox,false,54/9,36/9,36/9,8,Wake Forest
00-0034801,Josh Woods,ATL,LB,42,1996-07-01,30,Cancer,Rat,Fire Rat,Rat,false,33,33,33,8,Maryland
00-0041066,Kendal Daniels,ATL,LB,53,2002-12-16,23,Sagittarius,Horse,Water Horse,Horse,false,32/5,14/5,14/5,0,Oklahoma; Oklahoma State
00-0036354,Kyle Hinton,ATL,OL,68,1998-02-27,28,Pisces,Tiger,Earth Tiger,Tiger,false,56/11,38/11,38/11,6,Washburn
00-0036970,Kyle Pitts,ATL,TE,8,2000-10-06,25,Libra,Dragon,Metal Dragon,Dragon,false,18/9,9,9,5,Florida
00-0036204,LaCale London,ATL,DL,94,1997-08-05,29,Leo,Ox,Fire Ox,Ox,false,39/12/3,39/12/3,39/12/3,6,Western Illinois
00-0036082,Liam McCullough,ATL,LS,49,1997-06-05,29,Gemini,Ox,Fire Ox,Ox,false,37/10/1,37/10/1,37/10/1,6,Ohio State
00-0039889,Maason Smith,ATL,DL,92,2002-10-13,23,Libra,Horse,Water Horse,Horse,false,27/9,9,9,2,LSU
00-0039048,Matthew Bergeron,ATL,OL,65,2000-02-26,26,Pisces,Dragon,Metal Dragon,Dragon,false,30/3,12/3,12/3,3,Syracuse
00-0039842,Michael Jerrell,ATL,OL,72,1999-08-18,27,Leo,Rabbit,Earth Rabbit,Rabbit,false,54/9,45/9,45/9,2,Findlay
00-0034639,Mike Ford,ATL,DB,28,1995-08-04,31,Leo,Pig,Wood Pig,Pig,false,36/9,36/9,36/9,8,Southeast Missouri State
00-0034843,Mike Hughes,ATL,DB,21,1997-02-11,29,Aquarius,Ox,Fire Ox,Ox,false,39/12/3,30/3,30/3,8,UCF; Garden City CC; North Carolina
00-0025565,Nick Folk,ATL,K,6,1984-11-05,41,Scorpio,Rat,Wood Rat,Rat,false,38/11,29/11,29/11,19,Arizona
00-0037317,Nick Muse,ATL,TE,87,1998-11-25,27,Sagittarius,Tiger,Earth Tiger,Tiger,false,63/9,36/9,36/9,4,South Carolina
00-0035208,Olamide Zaccheaus,ATL,WR,14,1997-07-23,29,Leo,Ox,Fire Ox,Ox,false,56/11,38/11,38/11,7,Virginia
00-0036833,Ryan Neuzil,ATL,OL,64,1997-07-31,29,Leo,Ox,Fire Ox,Ox,false,64/10/1,37/10/1,37/10/1,5,Appalachian State
00-0033945,Samson Ebukam,ATL,DL,52,1995-05-09,31,Taurus,Pig,Wood Pig,Pig,false,38/11,38/11,38/11,9,Eastern Washington
00-0039002,Sydney Brown,ATL,DB,29,2000-03-21,26,Aries,Dragon,Metal Dragon,Dragon,false,26/8,8,8,3,Illinois
00-0040148,Xavier Watts,ATL,DB,31,2001-11-22,24,Sagittarius,Snake,Metal Snake,Snake,false,36/9,9,9,1,Notre Dame
00-0038580,Yasir Abdullah,ATL,LB,22,2000-04-12,26,Aries,Dragon,Metal Dragon,Dragon,false,18/9,9,9,3,Louisville
00-0031576,Za'Darius Smith,ATL,LB,55,1992-09-08,34,Virgo,Monkey,Water Monkey,Monkey,false,38/11,38/11,38/11,11,Kentucky; East Mississippi JC
00-0038980,Zach Harrison,ATL,DL,96,2001-08-14,25,Leo,Snake,Metal Snake,Snake,false,25/7,16/7,16/7,3,Ohio State
00-0041044,Zachariah Branch,ATL,WR,17,2004-03-29,22,Aries,Monkey,Wood Monkey,Monkey,false,38/11,20/2,20/2,0,Georgia; USC
00-0040076,Aeneas Peebles,BAL,DL,90,2001-09-03,25,Virgo,Snake,Metal Snake,Snake,false,15/6,15/6,15/6,1,Virginia Tech; Duke
00-0036081,Broderick Washington,BAL,DL,96,1996-12-04,29,Sagittarius,Rat,Fire Rat,Rat,false,41/5,32/5,32/5,6,Texas Tech
00-0026190,Calais Campbell,BAL,DL,93,1986-09-01,40,Virgo,Tiger,Fire Tiger,Tiger,false,34/7,34/7,34/7,18,Miami
00-0039460,Carl Jones,BAL,LB,48,2001-08-08,25,Leo,Snake,Metal Snake,Snake,false,19/10/1,19/10/1,19/10/1,2,UCLA
00-0040070,Carson Vinson,BAL,OL,76,2001-11-13,24,Scorpio,Snake,Metal Snake,Snake,false,27/9,9,9,1,Alabama A&M
00-0040885,Chandler Rivers,BAL,DB,29,2003-10-17,22,Libra,Goat,Water Goat,Goat,false,32/5,14/5,14/5,0,Duke
00-0033548,Chidobe Awuzie,BAL,DB,3,1995-05-24,31,Gemini,Pig,Wood Pig,Pig,false,53/8,35/8,35/8,9,Colorado
00-0032398,Chris Moore,BAL,WR,17,1993-06-16,33,Gemini,Rooster,Water Rooster,Rooster,false,44/8,35/8,35/8,10,Cincinnati
00-0032764,Derrick Henry,BAL,RB,22,1994-01-04,32,Capricorn,Rooster,Water Rooster,Dog,true,28/10/1,28/10/1,28/10/1,10,Alabama
00-0039792,Devontez Walker,BAL,WR,81,2001-06-19,25,Gemini,Snake,Metal Snake,Snake,false,28/10/1,19/10/1,19/10/1,2,North Carolina; Kent State; North Carolina Central
00-0034798,Durham Smythe,BAL,TE,80,1995-08-09,31,Leo,Pig,Wood Pig,Pig,false,41/5,41/5,41/5,8,Notre Dame
00-0040876,Elijah Sarratt,BAL,WR,13,2003-05-28,23,Gemini,Goat,Water Goat,Goat,false,38/11,20/2,20/2,0,Indiana; James Madison; St. Francis PA
00-0040068,Emery Jones Jr.,BAL,OL,51,2004-03-05,22,Pisces,Monkey,Wood Monkey,Monkey,false,14/5,14/5,14/5,1,LSU
00-0040978,Ethan Burke,BAL,LB,97,2003-06-20,23,Gemini,Goat,Water Goat,Goat,false,31/4,13/4,13/4,0,Texas
00-0033901,Ethan Pocic,BAL,OL,77,1995-08-05,31,Leo,Pig,Wood Pig,Pig,false,37/10/1,37/10/1,37/10/1,9,LSU
00-0040100,Jay Higgins,BAL,LB,49,2002-02-14,24,Aquarius,Horse,Water Horse,Horse,false,20/2,11,11,1,Iowa
00-0036302,Jaylinn Hawkins,BAL,DB,21,1997-08-27,29,Virgo,Ox,Fire Ox,Ox,false,61/7,43/7,43/7,6,California
00-0030070,John Jenkins,BAL,DL,94,1989-07-11,37,Cancer,Snake,Earth Snake,Snake,false,45/9,36/9,36/9,13,Georgia; Gulf Coast CC; Mississippi
00-0036369,John Simpson,BAL,OL,74,1997-08-19,29,Leo,Ox,Fire Ox,Ox,false,53/8,44/8,44/8,6,Clemson
00-0040887,Josh Cuevas,BAL,TE,85,2002-09-25,23,Libra,Horse,Water Horse,Horse,false,38/11,20/2,20/2,0,Alabama; Washington; Pomona State
00-0038629,Jovaughn Gwyn,BAL,OL,54,1999-03-18,27,Pisces,Rabbit,Earth Rabbit,Rabbit,false,49/13/4,40/4,40/4,3,South Carolina
00-0034975,Justice Hill,BAL,RB,43,1997-11-14,28,Scorpio,Ox,Fire Ox,Ox,false,51/6,33,33,7,Oklahoma State
00-0040104,Keondre Jackson,BAL,DB,39,2002-05-02,24,Taurus,Horse,Water Horse,Horse,false,11,11,11,1,Illinois State
00-0040636,Keyon Martin,BAL,DB,38,2001-05-16,25,Taurus,Snake,Metal Snake,Snake,false,24/6,15/6,15/6,1,Louisiana-Lafayette; Youngstown State
00-0038038,Kyle Hamilton,BAL,DB,14,2001-03-16,25,Pisces,Snake,Metal Snake,Snake,false,22,13/4,13/4,4,Notre Dame
00-0040075,LaJohntay Wester,BAL,WR,10,2002-03-29,24,Aries,Horse,Water Horse,Horse,false,36/9,18/9,18/9,1,Colorado; Florida Atlantic
00-0034796,Lamar Jackson,BAL,QB,8,1997-01-07,29,Capricorn,Rat,Fire Rat,Ox,true,34/7,34/7,34/7,8,Louisville
00-0040688,Malaki Starks,BAL,DB,24,2003-11-13,22,Scorpio,Goat,Water Goat,Goat,false,29/11,11,11,1,Georgia
00-0034753,Mark Andrews,BAL,TE,89,1995-09-06,31,Virgo,Pig,Wood Pig,Pig,false,39/12/3,39/12/3,39/12/3,8,Oklahoma
00-0033281,Marlon Humphrey,BAL,DB,44,1996-07-08,30,Cancer,Rat,Fire Rat,Rat,false,40/4,40/4,40/4,9,Alabama
00-0040879,Matthew Hibner,BAL,TE,88,2002-03-09,24,Pisces,Horse,Water Horse,Horse,false,16/7,16/7,16/7,0,SMU; Michigan
00-0040722,Mike Green,BAL,LB,15,2003-07-28,23,Leo,Goat,Water Goat,Goat,false,40/4,22,22,1,Marshall; Virginia
00-0039232,Nate Wiggins,BAL,DB,2,2003-08-28,23,Virgo,Goat,Water Goat,Goat,false,41/5,23/5,23/5,2,Clemson
00-0035408,Nick Moore,BAL,LS,46,1992-12-09,33,Sagittarius,Monkey,Water Monkey,Monkey,false,42/6,33,33,7,Georgia
00-0040866,Olaivavega Ioane,BAL,OL,71,2004-04-17,22,Aries,Monkey,Wood Monkey,Monkey,false,27/9,18/9,18/9,0,Penn State
00-0039796,Rasheen Ali,BAL,RB,26,2001-02-16,25,Aquarius,Snake,Metal Snake,Snake,false,21/3,12/3,12/3,2,Marshall
00-0036550,Rashod Bateman,BAL,WR,7,1999-11-29,26,Sagittarius,Rabbit,Earth Rabbit,Rabbit,false,68/14/5,41/5,41/5,5,Minnesota
00-0039233,Roger Rosengarten,BAL,OL,70,2002-06-03,24,Gemini,Horse,Water Horse,Horse,false,13/4,13/4,13/4,2,Washington
00-0032965,Ronnie Stanley,BAL,OL,79,1994-03-18,32,Pisces,Dog,Wood Dog,Dog,false,44/8,35/8,35/8,10,Notre Dame
00-0034874,Roquan Smith,BAL,LB,0,1997-04-08,29,Aries,Ox,Fire Ox,Ox,false,38/11,38/11,38/11,8,Georgia
00-0040898,Ryan Eckley,BAL,P,30,2004-02-16,22,Aquarius,Monkey,Wood Monkey,Monkey,false,24/6,15/6,15/6,0,Michigan State
00-0038505,Tavius Robinson,BAL,LB,95,1999-01-03,27,Capricorn,Tiger,Earth Tiger,Rabbit,true,32/5,32/5,32/5,3,Mississippi
00-0037756,Travis Jones,BAL,DL,98,1999-10-15,26,Libra,Rabbit,Earth Rabbit,Rabbit,false,53/8,35/8,35/8,4,Connecticut
00-0038504,Trenton Simpson,BAL,LB,32,2001-06-14,25,Gemini,Snake,Metal Snake,Snake,false,23/5,14/5,14/5,3,Clemson
00-0033935,Trey Hendrickson,BAL,LB,91,1994-12-05,31,Sagittarius,Dog,Wood Dog,Dog,false,40/4,31/4,31/4,9,Florida Atlantic
00-0035993,Tyler Huntley,BAL,QB,5,1998-02-03,28,Aquarius,Tiger,Earth Tiger,Tiger,false,32/5,32/5,32/5,6,Utah
00-0040074,Tyler Loop,BAL,K,33,2001-08-04,25,Leo,Snake,Metal Snake,Snake,false,15/6,15/6,15/6,1,Arizona
00-0041494,Zion Young,BAL,LB,9,2004-03-18,22,Pisces,Monkey,Wood Monkey,Monkey,false,27/9,18/9,18/9,0,Missouri; Michigan State
00-0037428,Alec Anderson,BUF,OL,70,1999-10-03,26,Libra,Rabbit,Earth Rabbit,Rabbit,false,41/5,32/5,32/5,4,UCLA
00-0034261,Austin Corbett,BUF,OL,63,1995-09-05,31,Virgo,Pig,Wood Pig,Pig,false,38/11,38/11,38/11,8,Nevada
00-0034832,Bradley Chubb,BUF,LB,9,1996-06-24,30,Cancer,Rat,Fire Rat,Rat,false,55/10/1,37/10/1,37/10/1,8,N.C. State
00-0035253,C.J. Gardner-Johnson,BUF,DB,22,1997-12-20,28,Sagittarius,Ox,Fire Ox,Ox,false,58/13/4,31/4,31/4,7,Florida
00-0037288,Christian Benford,BUF,DB,47,2000-09-21,26,Virgo,Dragon,Metal Dragon,Dragon,false,32/5,14/5,14/5,4,Villanova
00-0039872,Cole Bishop,BUF,DB,24,2002-10-24,23,Scorpio,Horse,Water Horse,Horse,false,38/11,11,11,2,Utah
00-0035679,Connor McGovern,BUF,OL,66,1997-11-03,28,Scorpio,Ox,Fire Ox,Ox,false,40/4,31/4,31/4,7,Penn State
00-0038933,Dalton Kincaid,BUF,TE,86,1999-10-18,26,Libra,Rabbit,Earth Rabbit,Rabbit,false,56/11,38/11,38/11,3,Utah; Univ of California-San Diego
00-0036888,Damar Hamlin,BUF,DB,3,1998-03-24,28,Aries,Tiger,Earth Tiger,Tiger,false,54/9,36/9,36/9,5,Pittsburgh
00-0041391,Davison Igbinosun,BUF,DB,21,2004-04-11,22,Aries,Monkey,Wood Monkey,Monkey,false,21/3,12/3,12/3,0,Ohio State; Mississippi
00-0035689,Dawson Knox,BUF,TE,88,1996-11-14,29,Scorpio,Rat,Fire Rat,Rat,false,50/5,32/5,32/5,7,Mississippi
00-0037034,Dee Alford,BUF,DB,23,1997-11-05,28,Scorpio,Ox,Fire Ox,Ox,false,42/6,33,33,6,Tusculum College
00-0040710,Deone Walker,BUF,DL,96,2004-03-11,22,Pisces,Monkey,Wood Monkey,Monkey,false,20/2,11,11,1,Kentucky
00-0039873,DeWayne Carter,BUF,DL,90,2000-12-10,25,Sagittarius,Dragon,Metal Dragon,Dragon,false,24/6,6,6,2,Duke
00-0033904,Dion Dawkins,BUF,OL,73,1994-04-26,32,Taurus,Dog,Wood Dog,Dog,false,53/8,35/8,35/8,9,Temple
00-0034827,DJ Moore,BUF,WR,2,1997-04-14,29,Aries,Ox,Fire Ox,Ox,false,44/8,35/8,35/8,8,Maryland
00-0038557,Dorian Williams,BUF,LB,42,2001-06-28,25,Cancer,Snake,Metal Snake,Snake,false,37/10/1,19/10/1,19/10/1,3,Tulane
00-0039471,Frank Gore Jr.,BUF,RB,20,2002-03-13,24,Pisces,Horse,Water Horse,Horse,false,20/2,11,11,2,Southern Mississippi
00-0035500,Greg Dortch,BUF,WR,19,1998-05-29,28,Gemini,Tiger,Earth Tiger,Tiger,false,61/7,43/7,43/7,7,Wake Forest
00-0035667,Greg Gaines,BUF,DL,97,1996-05-06,30,Taurus,Rat,Fire Rat,Rat,false,36/9,36/9,36/9,7,Washington
00-0036914,Greg Rousseau,BUF,LB,15,2000-04-05,26,Aries,Dragon,Metal Dragon,Dragon,false,11,11,11,5,Miami
00-0040194,Jackson Hawes,BUF,TE,85,2000-12-06,25,Sagittarius,Dragon,Metal Dragon,Dragon,false,20/2,11,11,1,Georgia Tech; Yale
00-0037248,James Cook,BUF,RB,4,1999-09-25,26,Libra,Rabbit,Earth Rabbit,Rabbit,false,62/8,44/8,44/8,4,Georgia
00-0039879,Javon Solomon,BUF,LB,56,2001-01-17,25,Capricorn,Dragon,Metal Dragon,Snake,true,21/3,12/3,12/3,2,Troy
00-0039763,Joe Andreessen,BUF,LB,44,2000-02-07,26,Aquarius,Dragon,Metal Dragon,Dragon,false,11,11,11,2,Buffalo
00-0040192,Jordan Hancock,BUF,DB,37,2003-08-12,23,Leo,Goat,Water Goat,Goat,false,25/7,16/7,16/7,1,Ohio State
00-0034857,Josh Allen,BUF,QB,17,1996-05-21,30,Gemini,Rat,Fire Rat,Rat,false,51/6,33,33,8,Wyoming; Reedley
00-0036988,Josh Palmer,BUF,WR,5,1999-09-22,27,Virgo,Rabbit,Earth Rabbit,Rabbit,false,59/14/5,41/5,41/5,5,Tennessee
00-0041444,Kaleb Elarms-Orr,BUF,LB,52,2003-08-29,23,Virgo,Goat,Water Goat,Goat,false,42/6,24/6,24/6,0,TCU; California
00-0040363,Keleki Latu,BUF,TE,83,2002-08-13,24,Leo,Horse,Water Horse,Horse,false,25/7,16/7,16/7,1,Washington; Nevada
00-0039901,Keon Coleman,BUF,WR,0,2003-05-17,23,Taurus,Goat,Water Goat,Goat,false,27/9,18/9,18/9,2,Florida State; Michigan State
00-0037261,Khalil Shakir,BUF,WR,10,2000-02-03,26,Aquarius,Rabbit,Earth Rabbit,Dragon,true,7,7,7,4,Boise State
00-0034577,Kyle Allen,BUF,QB,11,1996-03-08,30,Pisces,Rat,Fire Rat,Rat,false,36/9,36/9,36/9,8,Houston; Texas A&M
00-0040132,Landon Jackson,BUF,DL,94,2003-01-02,23,Capricorn,Horse,Water Horse,Goat,true,8,8,8,1,Arkansas; LSU
00-0036391,Lloyd Cushenberry III,BUF,OL,53,1997-11-22,28,Sagittarius,Ox,Fire Ox,Ox,false,59/14/5,32/5,32/5,6,LSU
00-0040709,Maxwell Hairston,BUF,DB,1,2003-08-06,23,Leo,Goat,Water Goat,Goat,false,19/10/1,19/10/1,19/10/1,1,Kentucky
